,statistic,Location,Opp,mean,std,max,min,median,n_games,mean_all,std_all,max_all,min_all,median_all,n_games_all
0,+/-,Away,ATL,6.5,9.766723549322407,22.0,-5.0,3.5,10,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
1,+/-,Away,BOS,7.111111111111111,12.88840995278747,28.0,-14.0,7.0,9,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
2,+/-,Away,BRK,8.285714285714286,8.635475005547093,25.0,-1.0,8.0,7,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
3,+/-,Away,CHA,0.25,7.632168761236874,6.0,-11.0,3.0,4,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
4,+/-,Away,CHI,4.333333333333333,19.248376554920156,36.0,-15.0,-4.0,9,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
5,+/-,Away,CHO,7.75,11.4418821295566,19.0,-4.0,8.0,4,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
6,+/-,Away,CLE,4.555555555555555,15.975062265264727,34.0,-26.0,6.0,18,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
7,+/-,Away,DAL,4.533333333333333,11.369549976435595,22.0,-22.0,8.0,15,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
8,+/-,Away,DEN,4.166666666666667,17.24648301743252,44.0,-24.0,3.5,18,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
9,+/-,Away,DET,0.625,8.070006195784487,11.0,-11.0,0.0,8,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
10,+/-,Away,HOU,0.5,15.852581740085334,33.0,-27.0,1.5,24,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
11,+/-,Away,IND,1.5714285714285714,19.518001458970662,34.0,-19.0,-7.0,7,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
12,+/-,Away,LAC,3.76,14.321545540431961,28.0,-31.0,5.0,25,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
13,+/-,Away,LAL,4.6,18.184765994802195,32.0,-26.0,3.0,15,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
14,+/-,Away,MEM,4.631578947368421,14.139033938065019,26.0,-24.0,9.0,19,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
15,+/-,Away,MIA,8.333333333333334,11.811011811017716,28.0,-12.0,7.0,9,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
16,+/-,Away,MIL,0.25,7.324128422062051,9.0,-12.0,1.0,8,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
17,+/-,Away,MIN,7.4,9.272077899339962,22.0,-6.0,5.0,15,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
18,+/-,Away,NJN,-3.0,14.142135623730951,7.0,-13.0,-3.0,2,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
19,+/-,Away,NOH,4.6,12.621410380777577,19.0,-14.0,8.0,5,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
20,+/-,Away,NOP,6.357142857142857,8.740772214232498,21.0,-12.0,4.5,14,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
21,+/-,Away,NYK,11.444444444444445,10.137937550497034,25.0,-4.0,10.0,9,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
22,+/-,Away,OKC,-4.368421052631579,15.011886128871309,19.0,-39.0,-8.0,19,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
23,+/-,Away,ORL,6.888888888888889,18.82448169568318,32.0,-25.0,11.0,9,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
24,+/-,Away,PHI,5.444444444444445,12.580849644510412,34.0,-14.0,3.0,9,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
25,+/-,Away,PHO,2.411764705882353,16.647292661005768,27.0,-26.0,0.0,17,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
26,+/-,Away,POR,8.421052631578947,12.928503348431688,29.0,-18.0,10.0,19,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
27,+/-,Away,SAC,6.176470588235294,9.63220700383385,20.0,-12.0,7.0,17,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
28,+/-,Away,SAS,-1.7058823529411764,13.485013468116897,20.0,-21.0,-2.0,17,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
29,+/-,Away,TOR,6.0,11.798304963002101,33.0,-9.0,5.0,11,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
30,+/-,Away,UTA,4.3125,15.304547254547149,33.0,-18.0,8.0,16,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
31,+/-,Away,WAS,6.0,16.6332999331662,35.0,-21.0,5.5,10,4.168341708542713,13.863468939867433,44.0,-39.0,4.0,398
32,+/-,Home,ATL,3.0,14.130345596151095,17.0,-27.0,6.0,7,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
33,+/-,Home,BOS,-2.2222222222222223,12.9689800849737,19.0,-21.0,-1.0,9,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
34,+/-,Home,BRK,9.666666666666666,4.88535225614967,17.0,3.0,10.0,6,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
35,+/-,Home,CHA,-3.5,10.535653752852738,7.0,-18.0,-1.5,4,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
36,+/-,Home,CHI,13.2,20.42765010687448,39.0,-32.0,13.0,10,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
37,+/-,Home,CHO,21.5,15.0,37.0,1.0,24.0,4,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
38,+/-,Home,CLE,9.65,9.943392410620179,25.0,-6.0,8.5,20,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
39,+/-,Home,DAL,6.066666666666666,11.404677403007359,26.0,-10.0,5.0,15,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
40,+/-,Home,DEN,5.052631578947368,13.061706899731863,25.0,-24.0,4.0,19,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
41,+/-,Home,DET,15.0,7.466592261534039,32.0,7.0,14.0,9,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
42,+/-,Home,HOU,7.461538461538462,11.496889211367634,33.0,-18.0,8.0,26,9.364532019704434,13.327781183000232,43.0,-32.0,9.0,406
