,+/-,3P,3P%,3PA,AST,Away,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,G#,GS,GmSc,MP,ORB,Opp,PF,PTS,Result,STL,Season,Series,TOV,TRB,Tm
37,+4,5,.417,12,4,@,0,5,2018-02-03,8,.500,16,3,.750,4,38,1,1,16.8,35:37,1,DEN,2,24,L (-7),2,2017-2018,Regular Season,5,6,GSW
38,-12,2,.222,9,5,,1,4,2018-02-06,6,.429,14,7,1.000,7,39,1,1,16.5,31:49,1,OKC,3,21,L (-20),1,2017-2018,Regular Season,3,5,GSW
39,+3,4,.444,9,8,,0,5,2018-02-08,7,.583,12,2,1.000,2,40,1,1,18.5,29:41,2,DAL,1,20,W (+18),0,2017-2018,Regular Season,4,7,GSW
40,+6,3,.429,7,8,,0,3,2018-02-10,7,.538,13,0,,0,41,1,1,17.9,28:52,1,SAS,0,17,W (+17),2,2017-2018,Regular Season,2,4,GSW
41,+21,3,.333,9,7,,1,7,2018-02-12,8,.471,17,3,1.000,3,42,1,1,18.2,29:53,2,PHO,3,22,W (+46),0,2017-2018,Regular Season,3,9,GSW
42,-7,3,.300,10,6,@,0,2,2018-02-14,6,.353,17,2,1.000,2,43,1,1,8.1,34:26,2,POR,4,17,L (-6),3,2017-2018,Regular Season,7,4,GSW
43,+8,8,.727,11,10,,0,5,2018-02-22,14,.737,19,8,1.000,8,44,1,1,41.9,37:08,1,LAC,4,44,W (+7),2,2017-2018,Regular Season,4,6,GSW
44,+24,5,.417,12,6,,0,8,2018-02-24,8,.421,19,0,,0,45,1,1,18.4,29:49,1,OKC,2,21,W (+32),3,2017-2018,Regular Season,2,9,GSW
45,+25,4,.444,9,5,@,0,5,2018-02-26,8,.500,16,1,1.000,1,46,1,1,14.6,30:17,0,NYK,1,21,W (+14),0,2017-2018,Regular Season,3,5,GSW
46,+20,4,.444,9,3,@,0,5,2018-02-28,5,.333,15,11,.917,12,47,1,1,14.5,35:07,0,WAS,3,25,W (+8),2,2017-2018,Regular Season,6,5,GSW
47,+2,4,.444,9,3,@,0,1,2018-03-02,8,.533,15,8,1.000,8,48,1,1,25.1,23:29,0,ATL,0,28,W (+5),2,2017-2018,Regular Season,0,1,GSW
48,+11,6,.500,12,4,,1,5,2018-03-06,12,.600,20,4,.800,5,49,1,1,29.3,33:56,1,BRK,2,34,W (+13),3,2017-2018,Regular Season,3,6,GSW
49,-1,0,,0,0,,0,0,2018-03-08,0,.000,1,2,1.000,2,50,1,1,1.3,2:23,0,SAS,0,2,W (+3),0,2017-2018,Regular Season,0,0,GSW
50,+9,3,.375,8,1,,1,6,2018-03-23,10,.556,18,6,1.000,6,51,1,1,22.9,25:22,1,ATL,1,29,W (+12),0,2017-2018,Regular Season,1,7,GSW
0,+15,5,.556,9,9,,0,8,2018-10-16,11,.550,20,5,1.000,5,1,1,1,27.5,36:37,0,OKC,4,32,W (+8),1,2018-2019,Regular Season,3,8,GSW
1,-3,5,.556,9,8,@,0,3,2018-10-19,13,.542,24,0,.000,1,2,1,1,23.4,37:07,1,UTA,2,31,W (+1),2,2018-2019,Regular Season,4,4,GSW
2,+3,6,.375,16,6,@,0,4,2018-10-21,10,.435,23,4,1.000,4,3,1,1,19.7,39:13,0,DEN,4,30,L (-2),0,2018-2019,Regular Season,2,4,GSW
3,+18,6,.462,13,8,,0,4,2018-10-22,11,.611,18,1,.500,2,4,1,1,26.2,29:40,0,PHO,0,29,W (+20),2,2018-2019,Regular Season,3,4,GSW
4,+19,11,.688,16,3,,1,4,2018-10-24,15,.625,24,10,1.000,10,5,1,1,41.8,31:35,0,WAS,1,51,W (+22),0,2018-2019,Regular Season,2,4,GSW
5,+3,6,.545,11,2,@,0,3,2018-10-26,10,.556,18,3,1.000,3,6,1,1,20.6,33:24,1,NYK,2,29,W (+28),1,2018-2019,Regular Season,3,4,GSW
6,+11,7,.467,15,3,@,0,6,2018-10-28,11,.423,26,6,.857,7,7,1,1,24.0,36:16,1,BRK,1,35,W (+6),1,2018-2019,Regular Season,2,7,GSW
7,+27,2,.500,4,5,@,0,8,2018-10-29,7,.778,9,7,1.000,7,8,1,1,25.2,24:50,0,CHI,3,23,W (+25),2,2018-2019,Regular Season,1,8,GSW
8,+19,7,.636,11,9,,0,2,2018-10-31,12,.600,20,6,.857,7,9,1,1,30.1,36:53,0,NOP,3,37,W (+10),2,2018-2019,Regular Season,5,2,GSW
9,+6,4,.333,12,7,,2,8,2018-11-02,11,.458,24,2,1.000,2,10,1,1,19.8,35:28,1,MIN,3,28,W (+17),0,2018-2019,Regular Season,4,9,GSW
10,+26,3,.500,6,7,,1,3,2018-11-05,6,.353,17,4,1.000,4,11,1,1,13.0,32:04,2,MEM,1,19,W (+16),1,2018-2019,Regular Season,5,5,GSW
11,-24,0,.000,4,6,,0,1,2018-11-08,5,.357,14,0,,0,12,1,1,3.1,26:06,0,MIL,4,10,L (-23),0,2018-2019,Regular Season,2,1,GSW
12,-8,3,.333,9,3,@,0,5,2018-12-01,10,.476,21,4,1.000,4,13,1,1,13.3,36:30,0,DET,4,27,L (-9),2,2018-2019,Regular Season,7,5,GSW
13,+22,6,.600,10,2,@,1,3,2018-12-03,10,.588,17,4,1.000,4,14,1,1,21.5,29:06,0,ATL,4,30,W (+17),1,2018-2019,Regular Season,3,3,GSW
14,+22,9,.643,14,7,@,0,9,2018-12-05,11,.550,20,11,.917,12,15,1,1,38.2,33:47,0,CLE,1,42,W (+24),1,2018-2019,Regular Season,2,9,GSW
15,+9,4,.444,9,8,@,0,4,2018-12-07,7,.412,17,2,1.000,2,16,1,1,14.5,35:37,0,MIL,3,20,W (+10),1,2018-2019,Regular Season,3,4,GSW
16,+9,7,.500,14,6,,1,6,2018-12-10,12,.522,23,7,1.000,7,17,1,1,33.7,35:45,1,MIN,1,38,W (+8),2,2018-2019,Regular Season,2,7,GSW
17,-16,2,.250,8,3,,0,2,2018-12-12,3,.250,12,2,1.000,2,18,1,1,2.8,32:32,1,TOR,1,10,L (-20),1,2018-2019,Regular Season,4,3,GSW
18,+18,5,.357,14,6,@,0,6,2018-12-14,11,.478,23,8,1.000,8,19,1,1,31.2,36:00,1,SAC,2,35,W (+5),3,2018-2019,Regular Season,1,7,GSW
19,+19,3,.333,9,1,,0,7,2018-12-17,6,.375,16,5,1.000,5,20,1,1,11.8,35:02,0,MEM,3,20,W (+17),2,2018-2019,Regular Season,3,7,GSW
20,-6,5,.556,9,3,@,1,2,2018-12-19,12,.571,21,3,1.000,3,21,1,1,23.6,37:00,1,UTA,4,32,L (-5),3,2018-2019,Regular Season,4,3,GSW
21,-3,6,.353,17,5,,0,3,2018-12-22,7,.318,22,2,.667,3,22,1,1,11.8,39:29,2,DAL,5,22,W (+4),2,2018-2019,Regular Season,3,5,GSW
22,+8,6,.400,15,2,,0,3,2018-12-23,12,.545,22,12,.923,13,23,1,1,34.8,35:39,3,LAC,4,42,W (+2),1,2018-2019,Regular Season,0,6,GSW
23,-9,2,.250,8,5,,0,2,2018-12-25,5,.294,17,3,1.000,3,24,1,1,7.2,36:48,0,LAL,5,15,L (-26),1,2018-2019,Regular Season,1,2,GSW
24,-3,6,.400,15,7,,2,4,2018-12-27,11,.423,26,1,.333,3,25,1,1,17.2,41:38,1,POR,1,29,L (-1),2,2018-2019,Regular Season,7,5,GSW
25,+10,2,.250,8,8,@,1,4,2018-12-29,6,.400,15,11,.786,14,26,1,1,23.5,36:11,1,POR,1,25,W (+10),2,2018-2019,Regular Season,2,5,GSW
26,+15,5,.556,9,4,@,0,8,2018-12-31,11,.647,17,7,1.000,7,27,1,1,29.6,31:53,1,PHO,2,34,W (+23),1,2018-2019,Regular Season,3,9,GSW
27,+3,5,.333,15,6,,0,3,2019-01-03,14,.519,27,2,.667,3,28,1,1,19.8,40:13,0,HOU,4,35,L (-1),0,2018-2019,Regular Season,5,3,GSW
28,+12,10,.500,20,2,@,0,5,2019-01-05,14,.538,26,4,1.000,4,29,1,1,27.5,38:29,0,SAC,2,42,W (+4),2,2018-2019,Regular Season,6,5,GSW
29,+36,3,.250,12,14,,0,6,2019-01-08,5,.263,19,1,1.000,1,30,1,1,13.8,31:58,1,NYK,3,14,W (+27),1,2018-2019,Regular Season,1,7,GSW
30,+39,5,.455,11,8,,0,3,2019-01-11,10,.625,16,3,1.000,3,31,1,1,24.7,27:12,2,CHI,0,28,W (+37),0,2018-2019,Regular Season,4,5,GSW
31,+9,11,.579,19,5,@,2,3,2019-01-13,17,.531,32,3,1.000,3,32,1,1,39.3,36:51,3,DAL,5,48,W (+5),1,2018-2019,Regular Season,0,6,GSW
32,+25,8,.615,13,4,@,0,5,2019-01-15,10,.556,18,3,1.000,3,33,1,1,23.6,29:42,1,DEN,2,31,W (+31),0,2018-2019,Regular Season,3,6,GSW
33,+20,9,.529,17,3,,0,4,2019-01-16,11,.500,22,10,1.000,10,34,1,1,31.8,35:08,1,NOP,3,41,W (+7),1,2018-2019,Regular Season,2,5,GSW
34,+9,3,.273,11,4,@,1,5,2019-01-18,10,.526,19,5,1.000,5,35,1,1,22.9,33:03,0,LAC,2,28,W (+18),1,2018-2019,Regular Season,1,5,GSW
35,+27,2,.200,10,12,@,0,4,2019-01-21,3,.250,12,3,1.000,3,36,1,1,13.9,30:08,1,LAL,3,11,W (+19),1,2018-2019,Regular Season,0,5,GSW
36,+13,2,.250,8,3,@,1,4,2019-01-24,14,.583,24,8,1.000,8,37,1,1,27.0,35:28,0,WAS,2,38,W (+8),0,2018-2019,Regular Season,3,4,GSW
37,+4,6,.500,12,3,@,0,3,2019-01-26,7,.467,15,4,1.000,4,38,1,1,17.5,38:04,0,BOS,2,24,W (+4),0,2018-2019,Regular Season,1,3,GSW
38,+10,6,.750,8,3,@,0,5,2019-01-28,10,.769,13,0,,0,39,1,1,22.6,26:49,1,IND,4,26,W (+32),2,2018-2019,Regular Season,3,6,GSW
39,-6,10,.556,18,6,,0,3,2019-01-31,14,.519,27,3,.750,4,40,1,1,27.7,38:12,1,PHI,1,41,L (-9),1,2018-2019,Regular Season,6,4,GSW
40,+13,2,.222,9,2,,0,4,2019-02-02,5,.333,15,2,.667,3,41,1,1,4.9,32:51,0,LAL,2,14,W (+14),0,2018-2019,Regular Season,2,4,GSW
41,+26,3,.600,5,7,,1,4,2019-02-06,7,.583,12,2,.667,3,42,1,1,18.7,28:36,1,SAS,2,19,W (+39),2,2018-2019,Regular Season,3,5,GSW
42,+13,3,.273,11,7,@,1,7,2019-02-08,6,.353,17,5,.833,6,43,1,1,14.8,35:33,0,PHO,5,20,W (+10),1,2018-2019,Regular Season,2,7,GSW
43,-9,5,.500,10,2,,0,3,2019-02-10,9,.500,18,2,1.000,2,44,1,1,18.2,36:25,1,MIA,2,25,W (+2),2,2018-2019,Regular Season,2,4,GSW
44,+5,5,.357,14,4,,2,5,2019-02-12,8,.421,19,3,1.000,3,45,1,1,20.4,36:10,0,UTA,3,24,W (+7),4,2018-2019,Regular Season,2,5,GSW
45,-10,5,.357,14,2,@,0,6,2019-02-13,10,.417,24,7,1.000,7,46,1,1,21.3,32:37,1,POR,2,32,L (-22),0,2018-2019,Regular Season,1,7,GSW
46,+6,10,.625,16,7,,0,6,2019-02-21,12,.522,23,2,1.000,2,47,1,1,30.0,36:14,0,SAC,1,36,W (+2),2,2018-2019,Regular Season,3,6,GSW
47,-1,5,.455,11,7,,1,9,2019-02-23,9,.500,18,2,1.000,2,48,1,1,21.1,35:42,0,HOU,3,25,L (-6),1,2018-2019,Regular Season,3,9,GSW
48,-4,4,.286,14,6,@,0,5,2019-02-25,5,.278,18,2,.667,3,49,1,1,10.3,35:03,0,CHO,1,16,W (+11),4,2018-2019,Regular Season,4,5,GSW
49,+5,4,.286,14,4,@,0,5,2019-02-27,9,.450,20,2,.667,3,50,1,1,14.8,34:23,1,MIA,1,24,L (-1),0,2018-2019,Regular Season,3,6,GSW
50,+1,5,.294,17,6,@,0,7,2019-02-28,12,.364,33,4,1.000,4,51,1,1,18.3,37:23,1,ORL,1,33,L (-7),0,2018-2019,Regular Season,3,8,GSW
51,+2,5,.333,15,2,@,0,3,2019-03-02,10,.435,23,3,1.000,3,52,1,1,19.3,35:56,1,PHI,4,28,W (+3),4,2018-2019,Regular Season,2,4,GSW
52,-21,4,.400,10,4,,0,3,2019-03-05,8,.500,16,3,1.000,3,53,1,1,14.5,30:51,0,BOS,3,23,L (-33),1,2018-2019,Regular Season,4,3,GSW
53,+20,4,.400,10,4,,0,7,2019-03-08,6,.375,16,1,.500,2,54,1,1,4.1,34:21,0,DEN,4,17,W (+17),0,2018-2019,Regular Season,7,7,GSW
54,+7,4,.267,15,8,,1,7,2019-03-10,6,.300,20,2,1.000,2,55,1,1,13.2,34:55,0,PHO,4,18,L (-4),3,2018-2019,Regular Season,3,7,GSW
55,-3,3,.333,9,5,@,0,2,2019-03-13,8,.400,20,5,1.000,5,56,1,1,18.9,35:21,2,HOU,2,24,W (+2),2,2018-2019,Regular Season,1,4,GSW
56,+19,5,.417,12,3,@,0,6,2019-03-16,10,.435,23,8,.800,10,57,1,1,22.3,33:06,1,OKC,1,33,W (+22),2,2018-2019,Regular Season,4,7,GSW
57,+3,6,.333,18,8,@,1,6,2019-03-18,9,.360,25,1,1.000,1,58,1,1,19.7,37:15,1,SAS,3,25,L (-6),3,2018-2019,Regular Season,2,7,GSW
58,+15,8,.571,14,5,@,0,2,2019-03-19,12,.571,21,4,.800,5,59,1,1,30.1,32:35,1,MIN,1,36,W (+10),2,2018-2019,Regular Season,2,3,GSW
59,+24,5,.417,12,7,,0,3,2019-03-21,5,.333,15,0,,0,60,1,1,9.8,29:28,1,IND,3,15,W (+23),1,2018-2019,Regular Season,3,4,GSW
60,+14,5,.500,10,3,,0,7,2019-03-24,9,.474,19,3,1.000,3,61,1,1,18.1,35:26,2,DET,2,26,W (+7),1,2018-2019,Regular Season,4,9,GSW
61,+17,6,.500,12,7,@,1,10,2019-03-27,7,.350,20,8,.889,9,62,1,1,23.8,33:23,0,MEM,3,28,W (+15),1,2018-2019,Regular Season,1,10,GSW
62,+5,11,.579,19,5,@,0,3,2019-03-29,13,.520,25,0,,0,63,1,1,28.3,41:55,0,MIN,2,37,L (-1),2,2018-2019,Regular Season,2,3,GSW
63,+37,5,.625,8,6,,1,5,2019-03-31,8,.571,14,4,1.000,4,64,1,1,25.8,27:28,0,CHO,0,25,W (+47),2,2018-2019,Regular Season,1,5,GSW
64,+25,5,.500,10,5,,0,4,2019-04-02,6,.545,11,0,,0,65,1,1,13.8,30:14,0,DEN,4,17,W (+14),3,2018-2019,Regular Season,4,4,GSW
65,+32,1,.111,9,7,@,0,9,2019-04-04,3,.214,14,0,,0,66,1,1,5.3,29:29,1,LAL,1,7,W (+18),1,2018-2019,Regular Season,2,10,GSW
66,+5,9,.750,12,7,,1,5,2019-04-05,12,.571,21,7,1.000,7,67,1,1,33.5,36:06,1,CLE,1,40,W (+6),0,2018-2019,Regular Season,4,6,GSW
67,+35,3,.300,10,4,,1,5,2019-04-07,11,.550,20,2,1.000,2,68,1,1,22.2,29:35,0,LAC,3,27,W (+27),1,2018-2019,Regular Season,0,5,GSW
68,+1,1,.500,2,1,@,0,1,2019-04-09,2,.500,4,0,,0,69,1,1,2.0,9:25,0,NOP,0,5,W (+9),0,2018-2019,Regular Season,2,1,GSW
0,+8,4,.400,10,9,@,0,4,2013-04-20,7,.350,20,1,1.000,1,1,1,1,11.5,42:56,0,DEN,2,19,L (-2),2,Playoff,WC1,5,4,GSW
1,+15,4,.400,10,13,@,0,5,2013-04-23,13,.565,23,0,,0,2,2,1,30.1,41:38,0,DEN,4,30,W (+14),3,Playoff,WC1,1,5,GSW
2,+13,4,.571,7,11,,0,6,2013-04-26,8,.471,17,9,1.000,9,3,3,1,27.2,37:50,0,DEN,4,29,W (+2),2,Playoff,WC1,3,6,GSW
3,+21,6,.545,11,7,,0,3,2013-04-28,10,.625,16,5,1.000,5,4,4,1,30.0,33:06,0,DEN,4,31,W (+14),4,Playoff,WC1,2,3,GSW
4,-3,1,.167,6,8,@,1,3,2013-04-30,7,.368,19,0,,0,5,5,1,8.4,41:52,1,DEN,5,15,L (-7),0,Playoff,WC1,2,4,GSW
5,-2,4,.500,8,8,,0,3,2013-05-02,6,.429,14,6,1.000,6,6,6,1,15.6,41:56,1,DEN,3,22,W (+4),2,Playoff,WC1,7,4,GSW
6,-2,6,.429,14,11,@,0,4,2013-05-06,18,.514,35,2,1.000,2,7,1,1,30.4,57:56,0,SAS,3,44,L (-2),2,Playoff,WCS,6,4,GSW
7,+16,2,.333,6,4,@,0,4,2013-05-08,7,.350,20,6,.667,9,8,2,1,11.8,43:01,0,SAS,2,22,W (+9),1,Playoff,WCS,2,4,GSW
8,+1,3,.333,9,8,,0,2,2013-05-10,5,.294,17,3,1.000,3,9,3,1,10.1,42:28,0,SAS,3,16,L (-10),2,Playoff,WCS,3,2,GSW
9,+23,5,.500,10,4,,0,4,2013-05-12,7,.467,15,3,1.000,3,10,4,1,16.9,38:36,2,SAS,2,22,W (+10),0,Playoff,WCS,2,6,GSW
10,-21,1,.143,7,8,@,0,0,2013-05-14,4,.286,14,0,,0,11,5,1,3.0,34:45,0,SAS,1,9,L (-18),1,Playoff,WCS,4,0,GSW
11,-19,2,.250,8,6,,1,3,2013-05-16,10,.400,25,0,,0,12,6,1,12.2,40:26,1,SAS,2,22,L (-12),1,Playoff,WCS,3,4,GSW
12,+5,2,.333,6,7,@,0,2,2014-04-19,6,.375,16,0,,0,1,1,1,7.0,44:39,1,LAC,1,14,W (+4),3,Playoff,WC1,7,3,GSW
13,-27,1,.143,7,8,@,0,1,2014-04-21,9,.529,17,5,1.000,5,2,2,1,20.0,31:00,0,LAC,4,24,L (-40),2,Playoff,WC1,2,1,GSW
14,-1,3,.375,8,15,,0,2,2014-04-24,5,.417,12,3,.750,4,3,3,1,17.1,43:25,0,LAC,3,16,L (-2),1,Playoff,WC1,3,2,GSW
15,+25,7,.500,14,7,,1,6,2014-04-27,10,.500,20,6,.857,7,4,4,1,28.5,42:23,1,LAC,3,33,W (+21),1,Playoff,WC1,2,7,GSW
16,-3,4,.571,7,4,@,0,3,2014-04-29,5,.500,10,3,1.000,3,5,5,1,8.9,43:42,0,LAC,2,17,L (-10),2,Playoff,WC1,8,3,GSW
17,+4,2,.250,8,9,,0,3,2014-05-01,9,.375,24,4,.571,7,6,6,1,15.1,45:29,1,LAC,1,24,W (+1),0,Playoff,WC1,2,4,GSW
18,+2,3,.429,7,9,@,0,4,2014-05-03,7,.412,17,16,1.000,16,7,7,1,31.5,45:50,1,LAC,4,33,L (-5),3,Playoff,WC1,2,5,GSW
19,+20,4,.308,13,5,,0,4,2015-04-18,13,.520,25,4,.571,7,1,1,1,23.6,40:06,0,NOP,4,34,W (+7),3,Playoff,WC1,3,4,GSW
20,+3,3,.333,9,6,,0,4,2015-04-20,9,.429,21,1,1.000,1,2,2,1,11.9,37:05,0,NOP,1,22,W (+10),1,Playoff,WC1,5,4,GSW
21,+13,7,.389,18,9,@,0,4,2015-04-23,10,.345,29,13,.929,14,3,3,1,27.3,43:51,1,NOP,3,40,W (+4),0,Playoff,WC1,3,5,GSW
22,+14,6,.750,8,9,@,0,5,2015-04-25,11,.550,20,11,.917,12,4,4,1,33.3,38:14,3,NOP,4,39,W (+11),1,Playoff,WC1,5,8,GSW
23,+14,4,.500,8,7,,0,1,2015-05-03,8,.444,18,2,1.000,2,5,1,1,18.1,37:36,1,MEM,1,22,W (+15),4,Playoff,WCS,4,2,GSW
24,-7,2,.182,11,6,,0,5,2015-05-05,7,.368,19,3,.750,4,6,2,1,10.8,40:43,0,MEM,0,19,L (-7),0,Playoff,WCS,3,5,GSW
25,-6,2,.200,10,6,@,1,1,2015-05-09,8,.381,21,5,.714,7,7,3,1,13.2,39:33,1,MEM,1,23,L (-10),1,Playoff,WCS,4,2,GSW
26,+19,4,.444,9,5,@,0,6,2015-05-11,11,.500,22,7,.778,9,8,4,1,24.3,38:35,2,MEM,4,33,W (+17),2,Playoff,WCS,4,8,GSW
27,+16,6,.462,13,5,,0,5,2015-05-13,6,.375,16,0,,0,9,5,1,16.6,32:33,2,MEM,0,18,W (+20),6,Playoff,WCS,5,7,GSW
28,+11,8,.615,13,10,@,0,6,2015-05-15,11,.440,25,2,1.000,2,10,6,1,22.5,38:40,0,MEM,3,32,W (+13),0,Playoff,WCS,4,6,GSW
29,+11,6,.545,11,5,,0,6,2015-05-19,13,.591,22,2,.667,3,11,1,1,28.5,39:25,0,HOU,3,34,W (+4),2,Playoff,WCF,1,6,GSW
30,-7,5,.455,11,6,,0,3,2015-05-21,13,.619,21,2,.667,3,12,2,1,22.4,36:46,0,HOU,2,33,W (+1),1,Playoff,WCF,6,3,GSW
31,+33,7,.778,9,7,@,1,2,2015-05-23,12,.632,19,9,.900,10,13,3,1,36.6,34:58,3,HOU,2,40,W (+35),2,Playoff,WCF,4,5,GSW
32,-20,6,.462,13,4,@,0,0,2015-05-25,7,.389,18,3,1.000,3,14,4,1,15.5,30:59,1,HOU,3,23,L (-13),0,Playoff,WCF,0,1,GSW
33,+1,3,.273,11,6,,0,7,2015-05-27,7,.333,21,9,.750,12,15,5,1,20.7,41:48,1,HOU,3,26,W (+14),5,Playoff,WCF,3,8,GSW
34,+4,2,.333,6,8,,0,4,2015-06-04,10,.500,20,4,1.000,4,16,1,1,20.4,42:39,0,CLE,1,26,W (+8),2,Playoff,FIN,4,4,GSW
35,-2,2,.133,15,5,,0,6,2015-06-07,5,.217,23,7,.875,8,17,2,1,2.2,42:16,0,CLE,4,19,L (-2),0,Playoff,FIN,6,6,GSW
36,-6,7,.538,13,6,@,1,4,2015-06-09,10,.500,20,0,,0,18,3,1,20.7,43:46,2,CLE,2,27,L (-5),3,Playoff,FIN,6,6,GSW
37,+18,4,.571,7,7,@,0,2,2015-06-11,8,.471,17,2,1.000,2,19,4,1,15.4,41:03,0,CLE,1,22,W (+21),1,Playoff,FIN,4,2,GSW
38,+24,7,.538,13,4,,0,4,2015-06-14,13,.565,23,4,1.000,4,20,5,1,28.4,42:07,3,CLE,2,37,W (+13),2,Playoff,FIN,5,7,GSW
39,+14,3,.273,11,8,@,0,6,2015-06-16,8,.421,19,6,.750,8,21,6,1,20.3,43:06,0,CLE,3,25,W (+8),3,Playoff,FIN,3,6,GSW
40,+28,5,.714,7,2,,0,6,2016-04-16,8,.615,13,3,1.000,3,1,1,1,21.0,19:49,1,HOU,0,24,W (+26),3,Playoff,WC1,4,7,GSW
41,0,1,.143,7,5,@,0,0,2016-04-24,2,.222,9,1,1.000,1,2,4,1,0.0,18:35,0,HOU,0,6,W (+27),1,Playoff,WC1,5,0,GSW
42,+21,5,.313,16,8,@,0,8,2016-05-09,16,.500,32,3,1.000,3,3,4,0,27.9,36:34,1,POR,2,40,W (+7),0,Playoff,WCS,4,9,GSW
43,+10,5,.455,11,11,,0,5,2016-05-11,10,.500,20,4,1.000,4,4,5,1,24.4,36:30,0,POR,2,29,W (+4),1,Playoff,WCS,4,5,GSW
44,-6,6,.429,14,7,,0,9,2016-05-16,9,.409,22,2,1.000,2,5,1,1,17.3,39:40,1,OKC,3,26,L (-6),3,Playoff,WCF,7,10,GSW
45,+24,5,.625,8,3,,0,2,2016-05-18,9,.600,15,5,1.000,5,6,2,1,21.8,29:40,0,OKC,0,28,W (+27),1,Playoff,WCF,3,2,GSW
46,-39,3,.273,11,3,@,0,5,2016-05-22,7,.412,17,7,.875,8,7,3,1,18.7,29:44,0,OKC,1,24,L (-28),2,Playoff,WCF,1,5,GSW
47,-19,2,.200,10,5,@,0,5,2016-05-24,6,.300,20,5,.714,7,8,4,1,6.8,39:00,0,OKC,2,19,L (-24),2,Playoff,WCF,6,5,GSW
48,+6,3,.375,8,6,,0,7,2016-05-26,9,.450,20,10,1.000,10,9,5,1,26.9,37:27,0,OKC,0,31,W (+9),5,Playoff,WCF,5,7,GSW
49,+12,6,.429,14,9,@,0,8,2016-05-28,9,.409,22,7,.778,9,10,6,1,26.3,41:01,2,OKC,3,31,W (+7),2,Playoff,WCF,3,10,GSW
50,+18,7,.583,12,8,,0,4,2016-05-30,13,.542,24,3,1.000,3,11,7,1,28.5,40:24,1,OKC,1,36,W (+8),0,Playoff,WCF,3,5,GSW
51,-1,3,.375,8,6,,0,4,2016-06-02,4,.267,15,0,,0,12,1,1,2.4,35:54,1,CLE,2,11,W (+15),0,Playoff,FIN,5,5,GSW
52,+25,4,.500,8,4,,1,8,2016-06-05,7,.636,11,0,,0,13,2,1,14.1,24:43,1,CLE,4,18,W (+33),0,Playoff,FIN,4,9,GSW
53,-22,3,.333,9,3,@,0,0,2016-06-08,6,.462,13,4,1.000,4,14,3,1,9.5,30:59,1,CLE,4,19,L (-30),2,Playoff,FIN,6,1,GSW
54,+10,7,.538,13,6,@,0,2,2016-06-10,11,.440,25,9,.900,10,15,4,1,29.2,39:39,3,CLE,3,38,W (+11),2,Playoff,FIN,3,5,GSW
55,-6,5,.333,15,4,,3,5,2016-06-13,8,.381,21,4,1.000,4,16,5,1,16.5,40:07,2,CLE,2,25,L (-15),0,Playoff,FIN,4,7,GSW
56,-11,6,.462,13,1,@,0,2,2016-06-16,8,.400,20,8,.889,9,17,6,1,14.7,35:14,0,CLE,6,30,L (-14),1,Playoff,FIN,4,2,GSW
57,-3,4,.286,14,2,,1,5,2016-06-19,6,.316,19,1,1.000,1,18,7,1,5.1,39:16,0,CLE,4,17,L (-4),1,Playoff,FIN,4,5,GSW
58,+5,3,.375,8,4,,1,4,2017-04-16,9,.474,19,8,1.000,8,1,1,1,18.7,35:45,1,POR,5,29,W (+12),1,Playoff,WC1,5,5,GSW
59,+32,4,.333,12,6,,1,5,2017-04-19,6,.333,18,3,.600,5,2,2,1,14.0,30:49,0,POR,1,19,W (+29),4,Playoff,WC1,4,5,GSW
60,+13,5,.357,14,8,@,1,3,2017-04-22,10,.400,25,9,.900,10,3,3,1,28.6,38:42,1,POR,1,34,W (+6),2,Playoff,WC1,1,4,GSW
61,+29,7,.636,11,8,@,0,5,2017-04-24,12,.600,20,6,.857,7,4,4,1,32.9,29:43,2,POR,0,37,W (+25),1,Playoff,WC1,4,7,GSW
62,+5,1,.250,4,5,,0,6,2017-05-02,7,.636,11,7,1.000,7,5,1,1,19.7,29:59,1,UTA,1,22,W (+12),1,Playoff,WCS,4,7,GSW
63,+14,5,.625,8,6,,0,3,2017-05-04,8,.533,15,2,1.000,2,6,2,1,19.3,38:10,1,UTA,3,23,W (+11),2,Playoff,WCS,3,4,GSW
64,+17,3,.273,11,4,@,0,5,2017-05-06,6,.300,20,8,.889,9,7,3,1,14.5,36:30,0,UTA,2,23,W (+11),0,Playoff,WCS,0,5,GSW
65,+33,4,.400,10,7,@,1,4,2017-05-08,9,.600,15,8,1.000,8,8,4,1,27.8,35:21,1,UTA,2,30,W (+26),0,Playoff,WCS,2,5,GSW
66,+8,7,.438,16,3,,0,5,2017-05-14,14,.538,26,5,.714,7,9,1,1,31.6,39:11,2,SAS,0,40,W (+2),3,Playoff,WCF,3,7,GSW
67,+24,6,.667,9,7,,0,6,2017-05-16,8,.615,13,7,1.000,7,10,2,1,30.3,30:33,1,SAS,3,29,W (+36),3,Playoff,WCF,2,7,GSW
68,+20,3,.429,7,3,@,0,4,2017-05-20,8,.533,15,2,1.000,2,11,3,1,17.5,33:30,1,SAS,3,21,W (+12),6,Playoff,WCF,5,5,GSW
69,+15,5,.385,13,6,@,0,5,2017-05-22,14,.583,24,3,1.000,3,12,4,1,23.7,33:54,0,SAS,2,36,W (+14),0,Playoff,WCF,6,5,GSW
