,+/-,3P,3P%,3PA,AST,Away,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,G#,GS,GmSc,MP,ORB,Opp,PF,PTS,Result,STL,Season,Series,TOV,TRB,Tm
78,+19,10,.526,19,6,,0,3,2016-04-13,15,.625,24,6,1.000,6,79,1,1,40.2,29:46,1,MEM,2,46,W (+21),2,2015-2016,Regular Season,2,4,GSW
0,-9,3,.300,10,4,,0,3,2016-10-25,9,.500,18,5,.833,6,1,1,1,15.9,34:06,0,SAS,1,26,L (-29),0,2016-2017,Regular Season,4,3,GSW
1,+4,4,.400,10,8,@,0,0,2016-10-28,8,.421,19,3,.750,4,2,1,1,14.6,34:04,1,NOP,3,23,W (+8),1,2016-2017,Regular Season,4,1,GSW
2,0,5,.625,8,3,@,0,1,2016-10-30,9,.529,17,5,1.000,5,3,1,1,19.1,34:13,0,PHO,5,28,W (+6),0,2016-2017,Regular Season,1,1,GSW
3,+24,5,.500,10,3,@,0,3,2016-11-01,10,.476,21,3,.750,4,4,1,1,16.4,29:30,1,POR,3,28,W (+23),1,2016-2017,Regular Season,4,4,GSW
4,+17,2,.333,6,7,,1,1,2016-11-03,6,.429,14,7,.875,8,5,1,1,19.7,30:03,0,OKC,1,21,W (+26),2,2016-2017,Regular Season,1,1,GSW
5,-5,0,.000,10,10,@,1,8,2016-11-04,5,.294,17,3,1.000,3,6,1,1,12.0,31:06,0,LAL,3,13,L (-20),2,2016-2017,Regular Season,2,8,GSW
6,+7,13,.765,17,5,,0,2,2016-11-07,16,.615,26,1,.500,2,7,1,1,37.2,35:39,3,NOP,2,46,W (+10),2,2016-2017,Regular Season,4,5,GSW
7,+17,4,.500,8,6,,0,3,2016-11-09,8,.667,12,4,1.000,4,8,1,1,19.5,30:50,0,DAL,1,24,W (+21),1,2016-2017,Regular Season,5,3,GSW
8,+27,7,.538,13,6,@,0,4,2016-11-10,10,.588,17,6,1.000,6,9,1,1,27.8,29:56,1,DEN,1,33,W (+24),1,2016-2017,Regular Season,4,5,GSW
9,+22,5,.556,9,6,,0,6,2016-11-13,9,.529,17,7,1.000,7,10,1,1,25.9,36:46,0,PHO,2,30,W (+13),2,2016-2017,Regular Season,3,6,GSW
10,+5,3,.333,9,7,@,0,1,2016-11-16,10,.526,19,12,.923,13,11,1,1,28.7,37:22,2,TOR,3,35,W (+6),1,2016-2017,Regular Season,3,3,GSW
11,+19,2,.200,10,8,@,1,3,2016-11-18,7,.350,20,0,,0,12,1,1,12.4,36:18,0,BOS,4,16,W (+16),4,2016-2017,Regular Season,2,3,GSW
12,+1,1,.091,11,5,@,0,5,2016-11-19,7,.333,21,5,1.000,5,13,1,1,9.5,34:41,0,MIL,4,20,W (+3),1,2016-2017,Regular Season,3,5,GSW
13,+34,2,.333,6,6,@,0,4,2016-11-21,6,.545,11,8,1.000,8,14,1,1,23.1,29:30,2,IND,1,22,W (+37),1,2016-2017,Regular Season,1,6,GSW
14,+32,7,.583,12,9,,0,5,2016-11-23,11,.611,18,2,1.000,2,15,1,1,30.2,28:45,0,LAL,1,31,W (+43),1,2016-2017,Regular Season,1,5,GSW
15,+14,4,.400,10,5,@,0,3,2016-11-25,8,.471,17,4,1.000,4,16,1,1,20.7,35:36,2,LAL,1,24,W (+24),3,2016-2017,Regular Season,3,5,GSW
16,+16,4,.500,8,6,,0,7,2016-11-26,13,.684,19,4,1.000,4,17,1,1,26.3,37:10,1,MIN,4,34,W (+13),1,2016-2017,Regular Season,6,8,GSW
17,+6,4,.364,11,3,,0,3,2016-11-28,6,.353,17,9,.818,11,18,1,1,15.9,38:14,0,ATL,2,25,W (+5),2,2016-2017,Regular Season,3,3,GSW
18,+10,4,.308,13,5,,1,2,2016-12-01,9,.409,22,6,1.000,6,19,1,1,17.3,38:23,1,HOU,6,28,L (-5),3,2016-2017,Regular Season,5,3,GSW
19,+15,5,.714,7,1,,0,2,2016-12-03,10,.667,15,6,1.000,6,20,1,1,23.0,29:50,0,PHO,2,31,W (+29),1,2016-2017,Regular Season,3,2,GSW
20,+24,2,.286,7,11,,1,4,2016-12-05,4,.400,10,3,.750,4,21,1,1,17.2,29:09,0,IND,4,13,W (+36),2,2016-2017,Regular Season,0,4,GSW
21,+18,0,.000,8,6,@,0,4,2016-12-07,7,.438,16,5,1.000,5,22,1,1,18.8,33:17,0,LAC,3,19,W (+17),7,2016-2017,Regular Season,3,4,GSW
22,+10,3,.333,9,2,@,0,5,2016-12-08,7,.438,16,9,1.000,9,23,1,1,18.7,35:34,0,UTA,2,26,W (+7),2,2016-2017,Regular Season,3,5,GSW
23,-24,3,.273,11,3,@,0,6,2016-12-10,4,.286,14,6,1.000,6,24,1,1,8.9,30:35,2,MEM,3,17,L (-21),0,2016-2017,Regular Season,4,8,GSW
24,-6,2,.400,5,9,@,0,3,2016-12-11,6,.462,13,8,1.000,8,25,1,1,23.0,31:35,1,MIN,3,22,W (+8),1,2016-2017,Regular Season,0,4,GSW
25,+4,5,.556,9,7,@,0,2,2016-12-13,11,.478,23,3,.750,4,26,1,1,23.0,34:07,2,NOP,2,30,W (+4),1,2016-2017,Regular Season,2,4,GSW
26,+20,2,.250,8,8,,0,9,2016-12-15,3,.214,14,0,,0,27,1,1,6.4,33:49,1,NYK,0,8,W (+13),1,2016-2017,Regular Season,3,10,GSW
27,+21,5,.625,8,6,,0,3,2016-12-17,6,.545,11,2,1.000,2,28,1,1,14.6,27:14,0,POR,3,19,W (+45),0,2016-2017,Regular Season,3,3,GSW
28,+27,4,.444,9,4,,0,3,2016-12-20,8,.444,18,5,1.000,5,29,1,1,22.3,30:13,0,UTA,0,25,W (+30),3,2016-2017,Regular Season,0,3,GSW
